abannation; Alt. of Abannition
abiogeny; Same as Abiogenesis.
aboding; A foreboding.
abradant; A material used for grinding, as emery, sand, powdered glass, etc.
acanthopterous; Acanthopterygious.
accelerated; of Accelerate
acclimated; of Acclimate
acclimating; of Acclimate
accumulation; The concurrence of several titles to the same proof.
acidifying; of Acidify
aciurgy; Operative surgery.
acquirable; Capable of being acquired.
acquisition; The act or process of acquiring.
acted; of Act
actuated; of Actuate
adarce; A saltish concretion on reeds and grass in marshy grounds in Galatia. It is soft and porous, and was formerly used for cleansing the skin from freckles and tetters, and also in leprosy.
addle-headed; Alt. of Addle-pated
adjudicating; of Adjudicate
adjutant; A regimental staff officer, who assists the colonel, or commanding officer of a garrison or regiment, in the details of regimental and garrison duty.
admonitive; Admonitory.
adorn; Adornment.
adsignification; Additional signification.
aesthetics; Alt. of Esthetics
affiancing; of Affiance
afflatus; A breath or blast of wind.
agate; A semipellucid, uncrystallized variety of quartz, presenting various tints in the same specimen. Its colors are delicately arranged in stripes or bands, or blended in clouds.
aggressed; of Aggress
agronomic; Alt. of Agronomical
airward; Alt. of Airwards
alarm; A summons to arms, as on the approach of an enemy.
alaternus; An ornamental evergreen shrub (Rhamnus alaternus) belonging to the buckthorns.
albinotic; Affected with albinism.
algerian; A native of Algeria.
alienism; The study or treatment of diseases of the mind.
alkalamide; One of a series of compounds that may be regarded as ammonia in which a part of the hydrogen has been replaced by basic, and another part by acid, atoms or radicals.
almightful; Alt. of Almightiful
almner; An almoner.
alouatte; One of the several species of howling monkeys of South America. See Howler, 2.
alternate; A proportion derived from another proportion by interchanging the means.
aluminated; Combined with alumina.
amalgamated; of Amalgamate
amatorially; In an amatorial manner.
amazedness; The state of being amazed, or confounded with fear, surprise, or wonder.
baboo; Alt. of Babu
backwoodsmen; of Backwoodsman
caffetannic; Pertaining to, or derived from, the tannin of coffee.
cage; The catcher's wire mask.
caged; of Cage
caging; of Cage
calcimining; of Calcimine
calcography; The art of drawing with chalk.
earldorman; Alderman.
eased; of Ease
ebonizing; of Ebonize
eclegm; A medicine made by mixing oils with sirups.
fabling; of Fable
fair-haired; Having fair or light-colored hair.
falcade; The action of a horse, when he throws himself on his haunches two or three times, bending himself, as it were, in very quick curvets.
falsified; of Falsify
fanal; A lighthouse, or the apparatus placed in it for giving light.
farthest; At or to the greatest distance. See Furthest.
fascial; Relating to a fascia.
feasibilities; of Feasibility
federal; See Federalist.
feint; To make a feint, or mock attack.
felucca; A small, swift-sailing vessel, propelled by oars and lateen sails, -- once common in the Mediterranean.
femalize; To make, or to describe as, female or feminine.
ferret; The iron used for trying the melted glass to see if is fit to work, and for shaping the rings at the mouths of bottles.
festooning; of Festoon
feticism; See Fetichism.
feuterer; A dog keeper.
fiat; An authority for certain proceedings given by the Lord Chancellor's signature.
fifteen; A symbol representing fifteen units, as 15, or xv.
fil; imp. of Fall, v. i. Fell.
financially; In a dfinancial manner.
finnikin; A variety of pigeon, with a crest somewhat resembling the mane of a horse.
flabellation; The act of keeping fractured limbs cool by the use of a fan or some other contrivance.
flagworm; A worm or grub found among flags and sedge.
flashes; of Flash
fleet-foot; Swift of foot.
flighter; A horizontal vane revolving over the surface of wort in a cooler, to produce a circular current in the liquor.
flocculate; Furnished with tufts of curly hairs, as some insects.
flocculation; The process by which small particles of fine soils and sediments aggregate into larger lumps.
flooring; Material for the construction of a floor or floors.
floriken; An Indian bustard (Otis aurita). The Bengal floriken is Sypheotides Bengalensis.
flote; A wave.
fluocerite; A fluoride of cerium, occuring near Fahlun in Sweden. Tynosite, from Colorado, is probably the same mineral.
fluxionist; One skilled in fluxions.
fly-catching; Having the habit of catching insects on the wing.
flying; of Fly
folium; A leaf, esp. a thin leaf or plate.
fooled; of Fool
foot; To renew the foot of, as of stocking.
foregoing; of Forego
forehew; To hew or cut in front.
foremother; A female ancestor.
forethoughtful; Having forethought.
forewarned; of Forewarn
forisfamiliate; To renounce a legal title to a further share of paternal inheritance.
forlorn; A lost, forsaken, or solitary person.
forties; of Forty
fossoria; See Fossores.
found; A thin, single-cut file for combmakers.
fouty; Despicable.
fowlerite; A variety of rhodonite, from Franklin Furnace, New Jersey, containing some zinc.
fractionate; To separate into different portions or fractions, as in the distillation of liquids.
frambaesia; The yaws. See Yaws.
frowning; of Frown
frumentaceous; Made of, or resembling, wheat or other grain.
fugue; A polyphonic composition, developed from a given theme or themes, according to strict contrapuntal rules. The theme is first given out by one voice or part, and then, while that pursues its way, it is repeated by another at the interval of a fifth or fourth, and so on, until all the parts have answered one by one, continuing their several melodies and interweaving them in one complex progressive whole, in which the theme is often lost and reappears.
fulmar; One of several species of sea birds, of the family procellariidae, allied to the albatrosses and petrels. Among the well-known species are the arctic fulmar (Fulmarus glacialis) (called also fulmar petrel, malduck, and mollemock), and the giant fulmar (Ossifraga gigantea).
fumette; The stench or high flavor of game or other meat when kept long.
furrowing; of Furrow
gabert; A lighter, or vessel for inland navigation.
gaffed; of Gaff
galacta-gogue; An agent exciting secretion of milk.
gallein; A red crystalline dyestuff, obtained by heating together pyrogallic and phthalic acids.
gallic; Pertaining to, or derived from, galls, nutgalls, and the like.
galvanoplasty; The art or process of electrotypy.
gambeson; Same as Gambison.
gambling; of Gamble
gape; The width of the mouth when opened, as of birds, fishes, etc.
gargil; A distemper in geese, affecting the head.
garland; To deck with a garland.
garnered; of Garner
gasolene; See Gasoline.
gastrodisc; That part of blastoderm where the hypoblast appears like a small disk on the inner face of the epibladst.
ged; Alt. of Gedd
gemel; One of the barrulets placed parallel and closed to each other.  Cf. Bars gemel, under Gemel, a.
gemmipara; Alt. of Gemmipares
genealogize; To investigate, or relate the history of, descents.
generatrices; of Generatrix
geniculated; Same as Geniculate.
geognosy; That part of geology which treats of the materials of the earth's structure, and its general exterior and interior constitution.
gerlind; A salmon returning from the sea the second time.
germain; See Germane.
gila monster; A large tuberculated lizard (Heloderma suspectum) native of the dry plains of Arizona, New Mexico, etc. It is the only lizard known to have venomous teeth.
gladstone; A four-wheeled pleasure carriage with two inside seats, calash top, and seats for driver and footman.
gmelinite; A rhombohedral zeolitic mineral, related in form and composition to chabazite.
golfer; One who plays golf.
gonocalyx; The bell of a sessile gonozooid.
good-by; Alt. of Good-bye
gossib; A gossip.
gowan; Decomposed granite.
gradino; A step or raised shelf, as above a sideboard or altar.  Cf. Superaltar, and Gradin.
grafted; of Graft
grane; See Groan.
grass tree; A similar Australian plant (Kingia australis).
gratifier; One who gratifies or pleases.
gratuity; Something voluntarily given in return for a favor or service, as a recompense or acknowledgment.
gravely; In a grave manner.
greillade; Iron ore in coarse powder, prepared for reduction by the Catalan process.
gry; Anything very small, or of little value.
guggle; See Gurgle.
guttifer; A plant that exudes gum or resin.
gynoecium; The pistils of a flower, taken collectively. See Illust. of Carpophore.
haemachrome; Hematin.
haematinometer; Same as Hematinometer.
haematoid; Same as Hematoid.
haematophlina; A division of Cheiroptera, including the bloodsucking bats. See Vampire.
haemodynameter; Same as Hemadynamics.
haemoglobin; Same as Hemoglobin.
halesia; A genus of American shrubs containing several species, called snowdrop trees, or silver-bell trees. They have showy, white flowers, drooping on slender pedicels.
halve; To join, as two pieces of timber, by cutting away each for half its thickness at the joining place, and fitting together.
halved; of Halve
halves; pl. of Half.
hamiform; Hook-shaped.
handcloth; A handkerchief.
handi-craftsman; A man skilled or employed in handcraft.
handicapping; of Handicap
harrower; One who harries.
hastened; of Hasten
hasty; Proceeding from, or indicating, a quick temper.
haustellate; One of the Haustellata.
haversack; A gunner's case or bag used carry cartridges from the ammunition chest to the piece in loading.
hay-cutter; A machine in which hay is chopped short, as fodder for cattle.
hazard; To venture to incur, or bring on.
headstone; The stone at the head of a grave.
hebdomadary; A member of a chapter or convent, whose week it is to officiate in the choir, and perform other services, which, on extraordinary occasions, are performed by the superiors.
heightened; of Heighten
hemelytra; of Hemelytrum
hemelytrum; One of the partially thickened anterior wings of certain insects, as of many Hemiptera, the earwigs, etc.
hemerobid; Of relating to the hemerobians.
hemipteral; Alt. of Hemipterous
hemorrhage; Any discharge of blood from the blood vessels.
hendecagon; A plane figure of eleven sides and eleven angles.
henpecking; of Henpeck
herb-women; of Herb-woman
herpetologist; One versed in herpetology, or the natural history of reptiles.
hesitating; of Hesitate
heterochrony; In evolution, a deviation from the typical sequence in the formation of organs or parts.
heterosis; A figure of speech by which one form of a noun, verb, or pronoun, and the like, is used for another, as in the sentence: ""What is life to such as me?""
hexagynia; A Linnaean order of plants having six pistils.
hill; The earth raised about the roots of a plant or cluster of plants. [U. S.] See Hill, v. t.
hissed; of Hiss
historionomer; One versed in the phenomena of history and the laws controlling them.
hoa; Stop! stand still! hold! -- a word now used by teamsters, but formerly to order the cessation of anything.
hoarsened; of Hoarsen
hogging; of Hog
hoisted; of Hoist
homeopathically; According to the practice of homeopathy.
homogony; The condition of having homogonous flowers.
homopolic; In promorphology, pertaining to or exhibiting that kind of organic form, in which the stereometric ground form is a pyramid, with similar poles. See Promorphology.
